,index,duration_min,session,day,Dialy_Average,percentage
204,2017-12-24,2.067,3,Sunday,1.5,0.3780000000000001
205,2017-12-25,0.117,1,Monday,1.4,-0.9164285714285715
206,2017-12-26,0.7,4,Tuesday,1.4,-0.5
207,2017-12-27,5.2669999999999995,6,Wednesday,1.4,2.762142857142857
208,2017-12-28,6.6000000000000005,6,Thursday,1.3,4.0769230769230775
209,2017-12-29,2.6679999999999993,4,Friday,1.3,1.0523076923076917
210,2017-12-30,8.183,5,Saturday,1.6,4.114375
211,2017-12-31,5.968999999999999,7,Sunday,1.5,2.979333333333333
212,2018-01-01,9.583,5,Monday,1.4,5.845000000000001
213,2018-01-02,2.184,4,Tuesday,1.4,0.5600000000000002
214,2018-01-03,1.167,1,Wednesday,1.4,-0.16642857142857134
215,2018-01-04,0.567,3,Thursday,1.3,-0.5638461538461539
216,2018-01-05,5.001,5,Friday,1.3,2.846923076923077
217,2018-01-06,5.917,6,Saturday,1.6,2.698125
218,2018-01-07,0.5,2,Sunday,1.5,-0.6666666666666666
219,2018-01-08,4.067,5,Monday,1.4,1.9050000000000002
220,2018-01-09,5.799,5,Tuesday,1.4,3.142142857142858
221,2018-01-10,5.667999999999999,4,Wednesday,1.4,3.048571428571428
222,2018-01-11,0.0,0,Thursday,1.3,-1.0
223,2018-01-12,0.533,3,Friday,1.3,-0.59
224,2018-01-13,1.167,3,Saturday,1.6,-0.270625
225,2018-01-14,22.535000000000004,10,Sunday,1.5,14.023333333333335
226,2018-01-15,21.916999999999998,11,Monday,1.4,14.655000000000001
227,2018-01-16,6.8,3,Tuesday,1.4,3.8571428571428577
228,2018-01-17,0.033,1,Wednesday,1.4,-0.9764285714285715
229,2018-01-18,2.1340000000000003,6,Thursday,1.3,0.6415384615384617
230,2018-01-19,10.65,3,Friday,1.3,7.192307692307692
231,2018-01-20,3.15,5,Saturday,1.6,0.9687499999999999
232,2018-01-21,4.934,4,Sunday,1.5,2.2893333333333334
233,2018-01-22,4.05,3,Monday,1.4,1.892857142857143
234,2018-01-23,1.35,2,Tuesday,1.4,-0.03571428571428559
235,2018-01-24,9.517,1,Wednesday,1.4,5.797857142857143
236,2018-01-25,0.483,2,Thursday,1.3,-0.6284615384615385
237,2018-01-26,2.084,5,Friday,1.3,0.6030769230769231
238,2018-01-27,6.166,7,Saturday,1.6,2.8537500000000002
239,2018-01-28,7.5,4,Sunday,1.5,4.0
240,2018-01-29,2.1830000000000003,2,Monday,1.4,0.5592857142857146
241,2018-01-30,11.315999999999999,5,Tuesday,1.4,7.082857142857143
242,2018-01-31,2.167,2,Wednesday,1.4,0.5478571428571428
243,2018-02-01,5.167,3,Thursday,1.3,2.9746153846153844
244,2018-02-02,0.367,1,Friday,1.3,-0.7176923076923077
245,2018-02-03,2.5,2,Saturday,1.6,0.5624999999999999
246,2018-02-04,0.517,1,Sunday,1.5,-0.6553333333333333
247,2018-02-05,14.016,4,Monday,1.4,9.011428571428572
248,2018-02-06,0.667,1,Tuesday,1.4,-0.5235714285714285
249,2018-02-07,23.568000000000005,6,Wednesday,1.4,15.83428571428572
250,2018-02-08,4.349,7,Thursday,1.3,2.3453846153846154
251,2018-02-09,18.35,1,Friday,1.3,13.115384615384615
252,2018-02-10,3.0,2,Saturday,1.6,0.8749999999999999
253,2018-02-11,0.167,1,Sunday,1.5,-0.8886666666666666
254,2018-02-12,7.833,4,Monday,1.4,4.595
255,2018-02-13,3.45,3,Tuesday,1.4,1.4642857142857146
256,2018-02-14,14.5,3,Wednesday,1.4,9.357142857142858
257,2018-02-15,1.833,1,Thursday,1.3,0.4099999999999999
258,2018-02-16,1.167,1,Friday,1.3,-0.10230769230769231
259,2018-02-17,0.167,1,Saturday,1.6,-0.895625
260,2018-02-18,0.334,2,Sunday,1.5,-0.7773333333333333
261,2018-02-19,1.167,4,Monday,1.4,-0.16642857142857134
262,2018-02-20,0.0,0,Tuesday,1.4,-1.0
263,2018-02-21,0.167,1,Wednesday,1.4,-0.8807142857142857
264,2018-02-22,5.067,3,Thursday,1.3,2.897692307692308
265,2018-02-23,0.167,1,Friday,1.3,-0.8715384615384615
266,2018-02-24,3.716,2,Saturday,1.6,1.3225
267,2018-02-25,0.0,0,Sunday,1.5,-1.0
268,2018-02-26,13.051,4,Monday,1.4,8.322142857142858
269,2018-02-27,8.817,5,Tuesday,1.4,5.2978571428571435
270,2018-02-28,15.383,4,Wednesday,1.4,9.987857142857143
271,2018-03-01,9.15,5,Thursday,1.3,6.038461538461538
272,2018-03-02,0.9670000000000001,2,Friday,1.3,-0.2561538461538461
273,2018-03-03,2.184,2,Saturday,1.6,0.36500000000000005
274,2018-03-04,4.833,3,Sunday,1.5,2.222
275,2018-03-05,2.517,3,Monday,1.4,0.7978571428571429
276,2018-03-06,0.0,0,Tuesday,1.4,-1.0
277,2018-03-07,0.25,2,Wednesday,1.4,-0.8214285714285714
